Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
KREDS,KREDS,Lyra2REv2,True,PoW,643795911.540095,1100000000.0
TOKC,Tokyo Coin,X13,True,PoS,230298925.0,800000000.0
BBP,BiblePay,Proof-of-BibleHash,True,POBh,1772091549.88818,5200000000.0
LCC,LitecoinCash,SHA-256 + Hive,True,PoW + Hive,638382332.208514,840000000.0
FLIP,BitFlip,Scrypt,True,PoW,12446100.00278,40000000.0
LOT,LottoCoin,Scrypt,True,PoW,14491014421.0,18406979840.0
CIF,Crypto Improvement Fund,X11,True,PoW,211297638.500483,500000000.0
SPD,Stipend,C11,True,PoW/PoS,11251342.1879021,19340594.0
POA,Poa Network,Proof-of-Authority,True,PoA,204479039.0,252460800.0
PUSHI,Pushi,X11,True,PoW/PoS,2167827.1,25000000.0
ELP,Ellerium,XEVAN,True,PoW/PoS,419275.38,60000000.0
VLX,Velox,Scrypt,True,PoS,25570013.1348022,124000000.0
ONT,Ontology,VBFT,True,PoS,650848625.0,1000000000.0
CLO,Callisto Network,Ethash,True,PoW,247612453.0,6500000000.0
TUBE,BitTube,CryptoNight,True,PoW,80049082.9057215,1000000000.0
PSD,Poseidon,Scrypt,True,PoW,4070212.1493016,21000000.0
ADK,Aidos Kuneen,IMesh,True,PoW,25000000.0,25000000.0
BSX,Bitspace,NIST5,True,PoW/PoS,13787854.6277781,50000000.0
BRIA,Briacoin,Scrypt,True,PoW/PoS,845637.81347436,3000000.0
IC,Ignition,Scrypt,True,PoW/PoS,1182153.5,5000000.0
BTL,Bitrolium,Equihash,True,PoW,71355477.0,70000000.0
MEDIC,MedicCoin,Scrypt,True,PoS,267297676.3125,500000000.0
ALPS,Alpenschillling,Lyra2Z,True,PoW,27340501.6514783,300000000.0
BITG,Bitcoin Green,Green Protocol,True,PoS,9803691.3618195,21000000.0
DEV,Deviant Coin,PoS,True,PoS,21876586.8530324,88000000.0
ABJ,Abjcoin,Scrypt,True,PoW/PoS,9880502.37178894,30000000.0
SEM,Semux,Semux BFT consensus,True,DPoS,1231147.0,100000000.0
FTO,FuturoCoin,X11,True,PoW,31801461.1867843,100000000.0
CARE,Carebit,Quark,True,PoW/PoS,139739596.506702,200000000.0
NZL,Zealium,PoS,True,PoS,11075254.0929996,80000000.0
XMC,Monero Classic,CryptoNight,True,PoW,16016864.0,18400000.0
PROTON,Proton,X16R,True,PoS,4403800.0,45000000.0
DEAL,iDealCash,Scrypt,True,PoW/PoS,1404157529.46026,5121951220.0
JUMP,Jumpcoin,NIST5,True,PoW,21069346.2522598,21000000.0
INFX,Infinex,Lyra2RE,True,PoW,5097689.71077377,26280000.0
XBI,Bitcoin Incognito,XEVAN,True,PoS/PoW,10904963.0923455,21000000.0
KEC,KEYCO,Tribus,True,PoW,795447.0,18000000.0
HWC,HollyWoodCoin,Scrypt,True,PoS,38706809.466535,26000000.0
GIN,GINcoin,Lyra2Z,True,PoW,6986399.70430446,10500000.0
PLTC,PlatinCoin,CryptoNight,True,PoW,84300.0,600000518.0
LOKI,Loki,CryptoNight Heavy,True,PoW,19153632.0,150000000.0
NCP,Newton Coin,CryptoNight,True,PoW,41294520017.0,184000000000.0
SIC,Swisscoin,Scrypt,True,PoW/PoS,10200000000.0,10200000000.0
XT3,Xt3ch,Scrypt,True,PoS,7630000.0154,44000000.0
MGD,MassGrid,Jump Consistent Hash,True,PoW,135862416.039898,168000000.0
VIG,TheVig,SHA-256D,True,PoW/PoS,33238183.7225834,100000000.0
PLURA,PluraCoin,CryptoNight,True,PoW,560085952.404637,1000000000.0
EMAR,EmaratCoin,Scrypt,True,PoW/PoS,21599339.6728,84000000.0
DKD,Dekado,X15,True,PoS,30284196.369129,90000000.0
LYNX,Lynx,Scrypt,True,HPoW,77872059787.8998,92000000000.0
POSQ,Poseidon Quark,Quark,True,PoS,2716264.95302831,650000000.0
BWS,BitcoinWSpectrum,SHA-256,True,PoS,57811001.000889,100262205.0
MUSE,Muse,DPoS,True,PoS,18194936.0,18081806.0
XMN,Motion,X16R,True,PoW,8125865.02097646,22075700.0
PLUS1,PlusOneCoin,HMQ1725,True,PoW,8645406.16776286,21000000.0
AXE,Axe,X11,True,PoW,4993030.69736615,21000000.0
TRVC,Trivechain,X16R,True,PoW/PoS,36923120.6205934,82546564.0
DTEM,Dystem,Quark,True,PoS,7082392.24744494,21000000.0
GIC,Giant,Quark,True,PoW/PoS,5919489.76813523,5151000.0
PNY,Peony Coin,Scrypt,True,PoS,1042012.45227735,16880000000.0
ABS,Absolute Coin,Lyra2REv2,True,PoW/PoS,13332617.9413708,52500000.0
VITAE,Vitae,Quark,True,PoS,66053877.6256106,100000000.0
HEX,HexCoin,Scrypt,True,PoW,1416663.06600024,22105263.0
TPC,TPCash,Scrypt,True,PoW/PoS,5403802.49590733,1000000000.0
WEBC,Webchain,CryptoNight-V7,True,PoW,15580199.3087496,1750000000.0
RYO,Ryo,Cryptonight-GPU,True,PoW,4890897.0,88188888.0
URALS,Urals Coin,XEVAN,True,PoW,14746153.0962884,210000000.0
QWC,Qwertycoin,CryptoNight Heavy,True,PoW,99553110528.8022,184470000000.0
ARE,ARENON,X11,True,PoS,19269509.94,55000000.0
EUNO,EUNO,X11,True,PoW/PoS,30771125.9760867,50000000.0
MMO,MMOCoin,Scrypt,True,PoS,107763867.917675,260000000.0
KETAN,Ketan,PoS,True,PoS,9327131.59708692,210000000.0
PPAI,Project Pai,SHA-256,True,PoW,2100000000.0,2100000000.0
XDNA,XDNA,Keccak,True,PoW/PoS,4672513.84432375,366000000.0
PAXEX,PAXEX,X11,True,PoS,4504639.0,100000000.0
AZART,Azart,X11,True,PoW,5015881.37315389,25000000.0
TSC,ThunderStake,Scrypt,True,PoW/PoS,1059954080.43439,18000000000.0
KCASH,Kcash,SHA-512,True,Zero-Knowledge Proof,1000000000.0,1000000000.0
XCG,Xchange,X16R,True,PoW,9753753.61515394,100000000.0
AAC,Acute Angle Cloud,ECC 256K1,True,DPOS,1000000000.0,1000000000.0
CRYP,CrypticCoin,Equihash,True,PoW,4235111504.0,7600000000.0
BTXC,Bettex coin,XEVAN,True,PoS,6787405.18013774,50000000.0
ACM,Actinium,Lyra2Z,True,PoW,13634850.0,84000000.0
BSV,Bitcoin SV,SHA-256,True,PoW,17992514.6469233,21000000.0
BITM,BitMoney,XEVAN,True,Pos,208515864.367343,70000000000.0
JMC,Junson Ming Chan Coin,X11,True,PoS,17209923728.3266,0.0
FRED,FREDEnergy,CryptoNight,True,PoW,1867054873.28397,8080000000.0
HERB,HerbCoin,Quark,True,PoW/PoS,35312185.7437239,54000000.0
UMO,Universal Molecule,Blake,True,PoW,1578281.31341127,105120001.44
LIT,Lithium,Blake,True,PoW,15846721.2482747,25228800.0
PIRATE,PirateCash,Equihash,True,PoS,13475920.0,105000000.0
EXO,Exosis,Exosis,True,PoW,406091.925,21000000.0
BLTG,Block-Logic,Scrypt,True,PoW,35284717.173946,120000000.0
OWC,Oduwa,Scrypt,True,PoW/PoS,14777549.3940764,21000000.0
BEAM,Beam,Equihash,True,PoW,35687520.0,262800000.0
GALI,Galilel,Quark,True,PoW/PoS,18265011.2486006,19035999.0
BTH,Bithereum,Equihash,True,PoW,25150787.5,30886000.0
CSPN,Crypto Sports,Quark,True,PoS,1934701.67524713,13370000.0
CREDIT,Credit,Scrypt,True,PoW/PoS,30825710000.0296,74800000000.0
SLC,SLICE,QuBit,True,PoW,12925790.4226959,100000000.0
DASHP,Dash Platinum,X11,True,PoS,715659.44237941,19700000.0
NSD,Nasdacoin,Scrypt,True,PoW/PoS,20546528.2059957,84000000.0
BEET,Beetle Coin,XEVAN,True,PoW/PoS,198938144.363399,500000000.0
TTN,Titan Coin,SHA-256D,True,PoW/PoS,896361168.0,5000000000.0
AWR,Award,X11,True,PoW/PoS,15420234.5389336,420000000.0
BLAST,BLAST,SHA-256,True,PoW,52293836.6277958,64000000.0
XRC,Bitcoin Rhodium,X13,True,PoW,1170292.5,2100000.0
GLT,GlobalToken,SHA-256,True,PoW,84613099.9999955,168000000.0
INSN,Insane Coin,X11,True,PoW/PoS,23775960.3207514,30000000.0
ALX,ALAX,DPoS,True,DPoS,1000000000.0,1000000000.0
LDOGE,LiteDoge,Scrypt,True,PoW/PoS,15318887081.0146,35000000000.0
SLR,SolarCoin,Scrypt,True,PoW,55565076.3863525,98100000000.0
TRK,TruckCoin,X11,True,PoW/PoS,242574105.22384,0.0
UFO,UFO Coin,NeoScrypt,True,PoW,3824685012.0,4000000000.0
OC,OrangeCoin,Scrypt,True,PoW/PoS,3537150.0,200000000.0
BLC,BlakeCoin,Blake,True,PoW,23356790.1494191,7000000000.0
BITS,BitstarCoin,Scrypt,True,PoW/PoS,20576532.0,54256119.0
NEOS,NeosCoin,SHA-256,True,PoS,4392258.24647793,21000000.0
HYPER,HyperCoin,Scrypt,True,PoW/PoS,9631199.99309942,0.0
PINK,PinkCoin,X11,True,PoW/PoS,436353624.490312,500000000.0
CESC,Crypto Escudo,Scrypt,True,PoW,780210700.0,1000000000.0
ADC,AudioCoin,Scrypt,True,PoW/PoS,980732528.97974,10500000000.0
NKA,IncaKoin,SHA-256,True,PoW/PoS,17939725045.334,190000000.0
PIGGY,Piggy Coin,X11,True,PoW/PoS,494240666.028571,1000000000.0
CRW,Crown Coin,SHA-256,True,PoW,22986929.0854247,42000000.0
GEN,Genstake,Scrypt,True,PoW/PoS,60000000.0,15000000.0
SMLY,SmileyCoin,Scrypt,True,PoW,29583989322.9213,50000000000.0
MI,XiaoMiCoin,Scrypt,True,PoW/PoS,404316475.545465,400000000.0
GRS,Groestlcoin,Groestl,True,PoW,73298203.8873662,105000000.0
CPC,CapriCoin,X11,True,PoW/PoS,201364327.427503,208000000.0
CLUB, ClubCoin,Scrypt,True,PoW/PoS,103621876.167052,160000000.0
RADS,Radium,PoS,True,PoS,3821245.74150193,9000000.0
BTA,Bata,Scrypt,True,PoW,5052555.91981545,5000000.0
PAK,Pakcoin,Scrypt,True,PoW,69684455.4387001,182000000.0
CRB,Creditbit ,X11,True,Proof of Trust,16901016.6609755,16504333.0
OK,OKCash,SHA-256,True,PoW/PoS,74676064.9488608,105000000.0
LSK,Lisk,DPoS,True,DPoS,120012140.0,159918400.0
XHI,HiCoin,Scrypt,True,PoS,10000244677.7002,10008835635.0
XWC,WhiteCoin,Scrypt,True,PoW/PoS,252005564.19257,300000000.0
FSC,FriendshipCoin,NeoScrypt,True,PoW/PoS,1120385.00502,60168145.0
J,JoinCoin,Multiple,True,PoW,3332922.5,2800000.0
TRI,Triangles Coin,X13,True,PoW/PoS,140777.753365,120000.0
VOLLAR,Vollar,Equihash+Scrypt,True,PoW,100000000.0,2100000000.0
EOS,EOS,DPoS,True,DPoS,1020544523.0722,0.0
RCC,Reality Clash,Ethash,True,PoW,24487944.0958204,24487944.0
OXY,Oxycoin,DPoS,True,DPoS,1122382283.37,0.0
TCH,TigerCash,SHA-256,True,PoS,1000000000.0,1000000000.0
WAVES,Waves,Leased POS,True,LPoS,100000000.0,100000000.0
PART,Particl,PoS,True,PoS,9283137.5558676,8634140.0
BTT,BitTorrent,TRC10,True,DPoS,989988713439.649,990000000000.0
NXT,Nxt,PoS,True,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,ZEPHYR,SHA-256,True,DPoS,1999999995.3056,2000000000.0
GAP,Gapcoin,Scrypt,True,PoW/PoS,14931046.1546605,250000000.0
BDX,Beldex,CryptoNight,True,PoW,980222595.0,1400222610.0
ZEN,Horizen,Equihash,True,PoW,7296537.5,21000000.0
XBC,BitcoinPlus,Scrypt,True,PoS,128326.99633965,1000000.0
